URY,PER,CUB,USA,ISL,FIN,FRA,GRC,MAR,ZAF,CMR,SAU,IND,MNG,HKG,JPN,CHN,NZL,FJI
4.439,23.478,19.787,5281.387,2.421,56.353,395.74699999999996,84.229,27.605999999999998,320.709,2.88,313.327,722.8939999999999,9.263,34.778,1172.721,2835.795,27.708000000000002,0.7440000000000001
4.03,23.119,21.287,5375.034000000001,2.362,61.716,390.531,86.39200000000001,28.983,338.80400000000003,2.84,307.473,764.242,7.9270000000000005,31.079,1227.636,3010.242,27.889,0.7390000000000001
4.559,23.682,25.586,5436.698,2.465,58.145,397.565,86.946,29.619,361.861,3.2030000000000003,234.71200000000002,811.461,7.899,31.266,1239.998,3265.0570000000002,28.011,0.754
5.404,24.184,26.872,5625.0419999999995,2.52,64.062,413.07800000000003,89.09899999999999,30.406,363.999,3.592,258.264,878.827,8.023,28.91,1252.0710000000001,3408.347,29.305999999999997,0.813
5.513,27.246,24.509,5701.920999999999,2.616,62.723,405.972,93.804,31.101,385.7,3.156,215.797,915.049,7.688,30.498,1245.32,3414.5490000000004,31.301,0.782
5.64,27.572,24.357,5749.893,2.635,59.373000000000005,425.43699999999995,98.625,31.26,377.31199999999995,3.137,207.231,933.549,7.687,38.924,1205.59,3265.903,29.896,0.7609999999999999
6.681,29.147,25.183000000000003,5829.52,2.841,58.895,421.64099999999996,97.94200000000001,32.352,374.83,2.998,225.976,995.2330000000001,7.535,42.55,1242.192,3258.135,31.488000000000003,0.775
5.267,30.078000000000003,25.944000000000003,5997.299,2.9339999999999997,57.038000000000004,416.07,102.98200000000001,33.577,378.255,3.346,296.353,1029.638,7.487,40.284,1264.978,3349.295,32.298,0.8340000000000001
5.031000000000001,26.929000000000002,25.331999999999997,5899.855,2.863,62.536,420.72,105.369,37.426,371.517,3.325,296.575,1035.64,7.87,37.802,1250.344,3426.1440000000002,34.476,1.046
4.558,26.930999999999997,25.965999999999998,5942.420999999999,2.988,65.06,415.93199999999996,105.01100000000001,38.074,356.35699999999997,3.324,325.681,1047.596,8.262,39.485,1279.555,3782.4390000000003,34.658,0.879
4.5280000000000005,26.105,25.355,5991.191,2.98,72.658,422.63300000000004,109.083,37.495,404.173,3.698,326.517,1091.873,8.008,43.203,1287.782,4452.31,36.375,1.036
5.564,31.555999999999997,24.866,6105.444,3.1010000000000004,68.961,423.71,109.53,43.361999999999995,449.079,3.85,394.585,1145.545,8.571,41.568000000000005,1283.0439999999999,5125.894,35.961,1.34
5.726,36.733000000000004,25.848000000000003,6130.552,2.969,57.043,427.036,113.925,45.526,415.925,3.591,395.855,1210.146,8.574,43.731,1290.31,5771.168000000001,37.593,1.081
6.596,28.263,26.326999999999998,6050.385,3.147,68.384,416.07300000000004,112.465,47.391000000000005,446.62300000000005,3.752,431.292,1287.149,9.406,41.913999999999994,1267.1580000000001,6377.7480000000005,37.486,1.2009999999999998
5.947,34.524,25.761999999999997,6127.888000000001,3.4939999999999998,66.76,405.57099999999997,114.583,50.23,464.8,5.702000000000001,386.50699999999995,1390.253,12.079,43.571999999999996,1302.894,6861.751,36.577,1.141
8.201,40.669000000000004,27.747,5928.255999999999,3.795,58.611999999999995,399.277,111.113,52.861000000000004,494.642,5.426,432.336,1547.991,12.017000000000001,42.791000000000004,1232.232,7375.19,37.593,0.878
7.947,51.207,28.016,5493.548000000001,3.7310000000000003,55.923,382.166,104.34100000000001,52.59,502.259,6.595,465.844,1720.121,13.074000000000002,41.58,1162.961,7758.812,34.772,0.779
6.297000000000001,57.151,33.915,5700.108,3.6210000000000004,64.097,389.834,97.34299999999999,56.2,468.835,6.662000000000001,517.716,1700.027,13.82,40.064,1214.424,8500.543,34.997,1.2009999999999998
7.654,48.958999999999996,29.169,5572.585,3.486,56.57899999999999,365.23400000000004,94.53200000000001,56.711999999999996,475.814,6.162000000000001,497.659,1811.961,21.426,43.15,1264.518,9388.199,34.314,1.068
8.593,54.156000000000006,29.522,5371.776999999999,3.489,51.222,365.845,91.41799999999999,59.028,462.949,5.872000000000001,563.179,1979.047,35.031,42.743,1305.886,9633.899,35.986,1.041
7.49,45.655,27.748,5522.908,3.4819999999999998,51.757,366.852,81.723,58.735,457.441,4.864,540.805,1994.101,43.559,44.306000000000004,1315.0770000000002,9796.527,35.31,1.3159999999999998
6.656000000000001,50.178000000000004,27.426,5572.106,3.4619999999999997,47.657,335.415,78.65,59.643,482.764,6.649,601.896,2199.4,29.586,45.49100000000001,1264.88,9820.36,35.622,1.6230000000000002
6.617999999999999,51.51,29.053,5422.965999999999,3.533,44.123999999999995,341.106,74.959,61.028,462.3,7.744,620.883,2298.17,23.244,42.391000000000005,1224.539,9716.468,35.839,2.13
6.683,56.317,28.095,5306.661999999999,3.49,47.24100000000001,342.95599999999996,71.367,61.032,474.981,7.996,631.549,2371.752,25.324,43.388000000000005,1206.1660000000002,9704.479,34.26,2.019
6.702000000000001,52.673,28.103,5270.749,3.614,44.705,346.533,74.845,63.68899999999999,462.81199999999995,8.004,633.069,2456.9539999999997,26.414,43.183,1188.122,9838.754,36.024,2.07
6.944,55.531000000000006,28.616999999999997,5416.278,3.6310000000000002,46.989,337.913,73.887,66.31,467.56199999999995,8.137,621.302,2654.1009999999997,28.113000000000003,43.144,1161.981,10064.686,34.766,2.125
